name,category,price_numeric,rating_numeric,review_count,value_score
UDIRC UDI021 Eachine EBT04 RC Boat Parts Tail Rudder Assembly UDI021-07 Vehicles Models Spare Accessories,RC Cars,2.01,5.0,4,100.0
"Eachine ET5, ET5Pro, ET5S, EM1, EM2, EM3, EM4 Fluorogel Rubber Rings Engine Model Rubber Piston O Ring",RC Cars,3.65,5.0,24,99.7162752476104
DC-DC 5V 3A Power Supply Module Buck Step Down Regulator Module 24V 12V 9V To 5V Fixed Output,Power Tools,3.88,5.0,1,99.67648458111672
3pcs DC-DC 7-28V to 5V 3A Step Down Power Supply Module Buck Converter Replace LM2596,Power Tools,3.88,5.0,17,99.67648458111672
USB Lithium Battery Charger Module Board with Charging and Protection Integration Board,Power Tools,3.88,5.0,1,99.67648458111672
18.5inch Rubber Band Power Birds Assembly Flapping Wing Flight DIY Model Aircraft Plane Toy,RC Cars,4.66,5.0,2,99.54154232083387
Happymodel Bassline Spare Part 3D Printing TPU Lipo Battery Tray Fixing Mount for  RC Drone FPV Racing,RC Cars,4.66,5.0,2,99.54154232083387
3Pcs GeekcreitÂ® Mini DC Adjustable Power Supply Buck Module Step Down Module,Power Tools,4.66,5.0,5,99.54154232083387
Sinilink CNC Power Supply Special Accessories TTL to RS485 WiFi Receiver Module Remote Control Optional,Power Tools,4.89,5.0,13,99.50175165434021
WUZHI SK150C CNC DC Voltage Buck-Boost Power Supply 150W 40V Output 8A Adjustable Color Screen Constant Voltage Current Charging Module,Power Tools,4.89,5.0,5,99.50175165434021
JJRC C8815 1/10 Willys Military Truck RC Car Parts Winch Canopy Vehicles Models Spare Accessories,RC Cars,5.12,5.0,9,99.46196098784654
LDRC A86 A86P 1/18 RC Car Spare Steering Servo 9g LA0024 Drift Vehicles Models Parts Accessories,RC Cars,5.12,5.0,1,99.46196098784654
XH-M609 DC Voltage Protection Module Lithium Battery Charger Module Disconnect Output 12-36V,Power Tools,5.12,5.0,5,99.46196098784654
3Pcs USB Lithium Battery Charger Module Board with Charging and Protection Integration Board,Power Tools,5.12,5.0,1,99.46196098784654
ZD Racing DBX-10 1/10 Remote Control Vehicle Metal Fitting 12mm Hexagonal Connector RC Car Parts,RC Cars,5.43,5.0,12,99.408330089529
4PCS LDR/C LDP06 1/12 Unimog RC Car Spare Tires Wheels L0049G L0049Y Vehicles Models Parts Accessories,RC Cars,5.43,5.0,12,99.408330089529
OWI OWI-997 Intelligent DIY Gesture Sensing Robot STEM Toys for Kid Gift,RC Cars,5.43,5.0,2,99.408330089529
Solar Anti-backfeed Ideal Diode Constant Current Power Supply Module Battery Charging Anti-backfeed Module Board,Power Tools,5.43,5.0,7,99.408330089529
DC 6-40V Battery Charger Discharger Board Integrated Voltmeter Undervoltage Overvoltage Protection Module Timing Charging Discharging Communication Function,Power Tools,5.43,5.0,3,99.408330089529
DC-DC Power Supply Module 12V to 3.3V/5V/12V Multiple Output Voltage Conversion Converter Board,Power Tools,5.43,5.0,3,99.408330089529
